{ 1, 375978865285289, 0.045505375, -0.15567628, 9.872271
},{ 3, 375979226033380, -0.0014530421, -1.034686E-4, -0.0038633752
},{ 1, 375979228573796, -0.016765138, -0.15328126, 9.788445
},{ 3, 375979228573796, -0.0014530421, -6.361008E-4, -0.0049286396
},{ 2, 375979228573796, 23.25, 24.300001, -49.500004
},{ 1, 375979231114340, -0.023950197, -0.18441652, 9.78605
},{ 3, 375979231114340, 0.0017427512, 0.0025596926, -0.010254961
},{ 1, 375979233654884, -0.011975098, -0.031135255, 9.800421
},{ 3, 375979233654884, 0.0017427512, 0.0030923248, -0.005993904
},{ 1, 375979236195300, 0.0023950196, -0.15567628, 9.783655
},{ 3, 375979236195300, 0.0022753833, -0.011288745, -0.008124433
},{ 1, 375979238735844, -0.033530276, -0.14130616, 9.829161
},{ 3, 375979238735844, 6.7748677E-4, -0.001168733, -0.00972233
},{ 1, 375979241276388, 0.011975098, -0.12454102, 9.833951
},{ 3, 375979241276388, -9.204099E-4, -0.0017013652, 0.0014629471
},{ 1, 375979243816804, -0.019160157, -0.122146, 9.778865
},{ 3, 375979243816804, -0.008909894, -1.034686E-4, -0.0022654785
},{ 1, 375979246357348, -0.050295413, -0.10538086, 9.798025
},{ 3, 375979246357348, 0.0022753833, 0.0041575893, 9.303149E-4
},{ 1, 375979248897892, 0.083825685, -0.16286133, 9.901011
},{ 3, 375979248897892, -0.006246732, 0.0046902215, -0.0070591685
},{ 2, 375979248897892, 23.25, 24.300001, -49.500004
},{ 1, 375979251438308, 0.06706055, -0.08861572, 9.750125
},{ 3, 375979251438308, -0.006246732, -0.0027666297, -0.016113916
},{ 1, 375979253978852, -0.028740235, -0.23231691, 9.783655
},{ 3, 375979253978852, -9.204099E-4, 4.2916363E-4, -0.0070591685
},{ 1, 375979256519396, 0.0023950196, -0.12693603, 9.75731
},{ 3, 375979256519396, -0.007844629, -1.034686E-4, -0.0017328463
},{ 1, 375979259059812, -0.0071850587, -0.17244141, 9.788445
},{ 3, 375979259059812, 0.006003809, 9.6179586E-4, -0.0075918008
},{ 1, 375979261600356, 0.033530276, -0.09580079, 9.74773
},{ 3, 375979261600356, -0.0051814676, 9.6179586E-4, -0.005461272
},{ 1, 375979264140900, 0.021555176, -0.13172609, 9.845925
},{ 3, 375979264140900, 6.7748677E-4, -0.0048971586, -0.0022654785
},{ 1, 375979266681316, -0.021555176, -0.13172609, 9.884246
},{ 3, 375979266681316, -9.204099E-4, 0.0025596926, -0.0043960074
},{ 1, 375979269221860, 0.0071850587, -0.098195806, 9.848321
},{ 3, 375979269221860, 0.00387328, -0.0022339975, -0.008124433
},{ 2, 375979269221860, 23.25, 24.300001, -49.500004
},{ 1, 375979271762404, -0.0047900393, -0.06706055, 9.788445
},{ 3, 375979271762404, -0.008377261, -1.034686E-4, -0.00972233
},{ 1, 375979274302820, -0.07903565, -0.15567628, 9.74773
},{ 3, 375979274302820, 0.010264866, -0.001168733, 0.0057240045
},{ 1, 375979276843364, -0.06945557, -0.20597169, 9.905801
},{ 3, 375979276843364, 6.7748677E-4, 0.007886015, -0.0049286396
},{ 1, 375979279383908, 0.023950197, -0.15088624, 9.798025
},{ 3, 375979279383908, 0.010264866, -0.0022339975, 0.0014629471
},{ 1, 375979281924324, -0.045505375, -0.17483643, 9.82437
},{ 3, 375979281924324, -0.0019856745, -0.001168733, -1.3494957E-4
},{ 1, 375979284464868, 0.043110352, -0.119750984, 9.7621
},{ 3, 375979284464868, -0.0025183067, 0.0030923248, 0.0025282116
},{ 1, 375979287005412, -0.0047900393, -0.16525635, 9.793235
},{ 3, 375979287005412, -0.008377261, -0.001168733, 0.0019955793
},{ 1, 375979289545828, 0.0047900393, -0.16765137, 9.750125
},{ 3, 375979289545828, 0.0017427512, -0.005962423, 0.012648224
},{ 2, 375979289545828, 23.25, 24.300001, -49.500004
},{ 1, 375979292086372, -0.040715333, -0.06706055, 9.80521
},{ 3, 375979292086372, -0.0025183067, -1.034686E-4, 0.0051913727
},{ 1, 375979294626916, 0.06466553, -0.17723145, 9.692644
},{ 3, 375979294626916, -0.0014530421, 9.6179586E-4, 0.013713487
},{ 1, 375979297167332, -0.045505375, -0.10538086, 9.74294
},{ 3, 375979297167332, -0.009442526, -0.0038318941, 0.013180857
},{ 1, 375979299707876, 0.031135255, -0.22992188, 9.807606
},{ 3, 375979299707876, 0.011862763, -0.010756114, 0.016909283
},{ 1, 375979302248420, 0.026345216, -0.07185059, 9.807606
},{ 3, 375979302248420, 0.0044059125, -0.003299262, 0.017974544
},{ 1, 375979304788836, -0.021555176, -0.13891114, 9.754915
},{ 3, 375979304788836, -0.008909894, -0.0064950553, 0.009985062
},{ 1, 375979307329380, 0.014370117, -0.1341211, 9.716595
},{ 3, 375979307329380, -0.003050939, 0.0030923248, 0.009985062
},{ 1, 375979309869924, -0.028740235, -0.10538086, 9.766891
},{ 3, 375979309869924, 0.010797499, -0.0027666297, 0.008919799
},{ 2, 375979309869924, 23.25, 24.300001, -49.500004
},{ 1, 375979312416009, -0.021555176, -0.14849122, 9.802815
},{ 3, 375979312416009, 0.0049385447, -0.0022339975, 0.013180857
},{ 1, 375979314956553, 0.016765138, -0.15328126, 9.766891
},{ 3, 375979314956553, 0.0022753833, -0.0075603197, 0.0057240045
},{ 1, 375979317497097, 0.023950197, -0.15088624, 9.79563
},{ 3, 375979317497097, 0.006003809, 0.012679704, 0.0051913727
},{ 1, 375979320037641, -0.031135255, -0.14130616, 9.7740755
},{ 3, 375979320037641, -0.0073119965, -0.005429791, -0.001200214
},{ 1, 375979322578057, -0.0023950196, -0.17483643, 9.718989
},{ 3, 375979322578057, -0.0046488354, -0.0017013652, 0.010517695
},{ 1, 375979325118601, 0.014370117, -0.1341211, 9.75731
},{ 3, 375979325118601, -0.0046488354, 0.0025596926, 0.013713487
},{ 1, 375979327659145, 0.0, -0.08861572, 9.841136
},{ 3, 375979327659145, -0.004116203, 0.003624957, 0.0046587405
},{ 1, 375979330199689, 0.047900394, -0.1580713, 9.72378
},{ 3, 375979330199689, -0.008909894, 0.009483911, 0.007854533
},{ 2, 375979330199689, 23.25, 24.300001, -49.500004
},{ 1, 375979332740233, 0.06466553, -0.13891114, 9.733359
},{ 3, 375979332740233, -0.0014530421, -0.008092953, 0.008919799
},{ 1, 375979335280649, -0.0047900393, -0.07664063, 9.798025
},{ 3, 375979335280649, 0.0091996025, -0.0038318941, 0.02117034
},{ 1, 375979337821193, 0.0, -0.09580079, 9.7812605
},{ 3, 375979337821193, -0.0057141, 9.6179586E-4, 0.008387166
},{ 1, 375979340361737, 0.009580079, -0.17244141, 9.78605
},{ 3, 375979340361737, 0.00387328, -0.0075603197, 0.0051913727
},{ 1, 375979342902281, -0.083825685, -0.16286133, 9.783655
},{ 3, 375979342902281, 0.0044059125, -6.361008E-4, 0.0073219016
},{ 1, 375979345442825, -0.0047900393, -0.19878663, 9.833951
